keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
laptop,1,1,52J5TZ0UOT3C,Laptop Computers,"HP 15.6"" Pentium 4GB/128GB Laptop-Scarlet Red",HP,3.8,,"Designed to keep you productive and entertained from anywhere, the HP Laptop 15-dw0083wm combines a sleek and portable design and up to 10 hours and 45 minutes of battery life—plus, when you run low, you can go from 0 to 50% charge in approximately 45 minutes with HP Fast Charge. Featuring a 15.6-inch diagonal micro-bezel HD Brightview display (with screen-to-body ratio of 81%), Intel® Pentium® Silver processor and UHD graphics, 4 GB SDRAM and 128 GB solid state drive, this notebook PC is powerful enough for your busiest days. The HP TrueVision HD Camera with integrated dual-array digital microphones, plus tuned stereo speakers, enable video chatting with vibrant clarity, even in low light. Weighing under four pounds, this thin, light, scarlet red laptop is easy to take from your family room to your home office or on the road.",https://i5.walmartimages.com/asr/fb7a3275-2b04-4757-94d4-cca778dfe610_1.130d8cd7964d00f215a80ab6a614f388.jpeg,299,USD
laptop,4,40,4JS05IWHRA4L,Laptop Computers,"MSI GF63 Thin 15.6"" Gaming Laptop, FHD 144Hz, Intel Core i5-11400H, NVIDIA GeForce RTX 3050, 8GB Memory, 512GB NVMe SSD, Windows 11, 11UC-692",MSI,4.1,,"MSI GF63 Thin 11UC-692 15.6"" Gaming Laptop, 144Hz, Intel Core i5-11400H, NVIDIA GeForce RTX 3050, 8GB Memory, 512GB NVMe SSD, Windows 11",https://i5.walmartimages.com/asr/f2191cd1-6de0-4e93-b6b6-fd45e3336f97.344d20f35f58b2f507f976d36136273c.jpeg,619,USD
laptop,3,42,4Y5FHKO000G8,Laptop Computers,"HP 15"", Intel Core i3-1115, 8GB RAM, 256GB SSD, Silver, Windows 11, 15-dy2791wm",HP,3.9,,"Product Details: Manufacturer: HP Series: Model: 15-dy2791wm Screen Size: 15.6"" Touchscreen: NO Processor: i3-1115G4 Speed: 3GHz RAM: 8GB Solid State Drive: 256GB Operating System: Windows 11 Home in S Mode",https://i5.walmartimages.com/asr/7f9635f2-e3b6-48e6-9912-07f26f110637.99fa7debd9dd951d0e17964ac3af9b35.jpeg,369,USD
laptop,3,41,7H8UU4XE2U91,Laptop Computers,"HP 14"" FHD Laptop Computer, AMD Ryzen 3-3250, 4GB RAM, 128GB SSD, Silver, Windows 11 (S mode), 14-fq0110wm",HP,4,,"Power through your busiest days with this silver HP 14 Laptop designed to keep you productive and entertained wherever your day takes you. Long battery life means you can keep going whether you're at an outdoor cafe or hitting the road, and when you do need a charge, this fast charge laptop goes from 0 to 50% in approximately 45 minutes.",https://i5.walmartimages.com/asr/add29996-b9a3-407d-8b58-4e9aeefe4975.e40ae640212567d9b1ca7abb94ddfb50.jpeg,261.98,USD
laptop,3,40,3MEOGI5LLE0Z,Laptop Computers,"Gateway 14.1"" Ultra Slim Notebook, FHD Touchscreen, Intel Core i7-1255U, 8GB RAM, 512GB SSD, Fingerprint Scanner, Tuned by THX Audio, 2MP Camera, HDMI, Windows 11, Silver",Gateway,,,"<p><strong>Check out more Gateway Products at </strong><a href=""http://www.walmart.com/Gateway"" rel=""nofollow""><strong>Walmart.com/Gateway</strong></a></p> <p><strong>Introducing the Next-Gen Gateway 14.1"" Notebook with Touch</strong></p> <p>Our Next-Gen 14.1” Ultra Slim Notebook from Gateway is the ultimate portable notebook that brings crystal-clear picture for all of your tasks and an extravagant new design. The new design features Full HD touchscreen display and a hinge that elevates your keyboard for a more ergonomic experience. You’re guaranteed to experience clarity with a 14.1” LCD FHD touchscreen display and precision touchpad. The computer is powered by an 12th Gen Intel Core i7-1255U Processor and has 8 GB memory RAM.</p> <ul><li>Click to add <a href=""https://nam06.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.walmart.com%2Fip%2FMicrosoft-365-Personal-15-month-Subscription-Email-Delivery-889842435153%2F354236902&data=04%7C01%7Cscottne%40microsoft.com%7C336060c129f04e3caec408d9a08b84a9%7C72f988bf86f141af91ab2d7cd011db47%7C1%7C0%7C637717343417773134%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=N%2BKCylN93UDb0LNVOQsvjD8GS%2BWqxpfnevV%2B7hYr6E4%3D&reserved=0"" rel=""nofollow"">Microsoft 365 Personal</a> and get 15 months for the price of 12 months</li></ul> <p><strong>12th Gen Intel® Core™ mobile processors<br /> </strong><em>At the core of all you do.</em></p> <p>Revolutionary design for real-world performance</p> <p>Laptops powered by 12th Gen Intel® Core™ processors help you:</p> <ul><li>Fast track projects</li><li>Be the star in video chats</li><li>Elevate the way they connect</li></ul> <p><strong>12th Gen Intel® Core™ i7 processors</strong></p> <p><em>Superior performance where you need it most.</em></p> <ul><li>Extreme multitasking</li><li>Built-in noise suppression and background blur</li><li>Responsive web browsing</li></ul> <p><strong>Tuned by THX Audio </strong></p> <p>This device features audio that has been Tuned by THX. Tuned by THX products enable listeners to get the best audio quality possible by providing custom fidelity improvements, balanced reproduction, and optimal frequency response. It is the ideal way to get the best audio for on-the-go entertainment.</p> <p><strong>More value than you can handle </strong></p> <p>The Ultra Slim Notebook is equipped with Windows 11 Home to make sure you get exactly what you need to get all of your tasks done. This notebook features a front facing camera with a camera shutter, two built in stereo speakers, and a built-in microphone with 5.1 Bluetooth. This Ultra Slim designed notebook is packed with 512GB SSD with up to 10 hours of battery life, so no more needing to panic about plugging your computer in to keep it going.</p>",https://i5.walmartimages.com/asr/4b37a210-e1d0-479c-808b-001133a714d6.c2fc860a6f496609e52444dbd7c57e2d.jpeg,589.99,USD
laptop,3,39,5J44Z4WGYR2C,Laptop Computers,"Restored Apple MacBook Air MJVE2LL/A 13-inch Laptop 1.6GHz Core i5,4GB RAM,128GB SSD (Refurbished)",Apple,3.5,,"Display13.3-inch (diagonal) LED-backlit glossy widescreen display (1440 x 900 native resolution)Processor1.6GHz dual-core Intel Core i5 (Turbo Boost up to 2.7GHz) with 3MB shard L3 cacheBattery and PowerUp to 12 hours wireless webUp to 12 hours iTunes movie playbackUp to 30 days standby timeBuilt-in 54-watt-hour lithium-polymer batterySize and WeightHeight: 0.11 - 0.68 in (0.3 -0.7 cm)Width: 12.8 in (32.5 cm)Depth: 8.94 in (22.7 cm)Weight: 2.96 lbs (1.35 kg)Graphics and Video SupportIntel HD Graphics 6000Dual display and video mirroringThunderbolt digital video outputCamera720p FaceTime HD CameraConnections and ExpansionTwo USB 3 ports (up to 5 Gbps)Thunderbolt 2 port (up to 20 Gbps)MagSafe 2 power portSDXC card slot3.5 mm headphone jackWireless802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatibleBluetooth 4.0 wireless technologyAudioStereo speakersDual microphones3.5 mm headphone jackKeyboard and TrackpadFull-size backlit keyboard with 78 (U.S.) or 79 (ISO) keys, including 12 function keys and 4 arrow keys with ambient light sensorMulti-Touch trackpad for precise cursor control; supports inertial scrolling, pinch, rotate, swipe, three-finger swipe, four-finger swipe, tap, double-tap, and drag capabilities",https://i5.walmartimages.com/asr/1befd0c6-4134-4af8-b525-56ad6185d4cb.c3f012e6f4d16a636289a40bd774bcbc.png,215.29,USD
laptop,3,38,1TYAORHPBVCT,Laptop Computers,"Refurbished Apple MacBook Air Plus Limited Bundle: Black Case, Wireless Mouse, and Headset, 11.6-inch, Intel Core i5, Intel HD Graphics 5000, 128GB SSD, 4GB RAM, - 1-Year Warranty",Apple,3.5,,"<p>This Apple MacBook Air comes in Silver. It has an 11.6-inch widescreen TFT LED backlit active-matrix ""glossy"" display with 1366 x 768 native resolution. Powered by Intel Core i5 and Intel HD Graphics 5000. Solid State Drive (SSD) capacity of 128GB with 4GB of RAM. Bundle includes Black Case, Wireless Mouse, and Headset! This device has been tested to be in great working condition. It will show signs of use and cosmetic blemishes which may included some scratched/dings, all of which do not affect the usability of this device.</p>",https://i5.walmartimages.com/asr/adca7260-e3a4-4a46-afd1-60722e3f6f7e.e3ad953d22ed14eef9b53e80b8d89a7c.jpeg,229,USD
laptop,3,37,5W9T9UOQW874,Laptop Computers,"15.6"" KUU Laptop Intel Celeron N5095, 16GB RAM, 512GB SSD, Win 11 Pro, Backlit Keyboard, Wifi & Bluetooth",KUU,4.7,,"The 15.6-inch laptop boasts a metallic shell and weighs 1682g. It incorporates a 4-core Intel Celeron and Intel UHD Graphics, resulting in superior video and gaming experiences. The laptop runs on Windows 11 Pro, has a backlit keyboard, and supports WiFi and Bluetooth connectivity. Its sleek silver exterior exudes style.",https://i5.walmartimages.com/asr/c7bd1af3-c103-4d73-a9fd-5835fe0ff76a.d11041860b24a9e288796b8c2dcdce1a.jpeg,319,USD
laptop,3,36,18F5MJ3R95JG,Laptop Computers,"Apple MacBook Air, 13.3-inch, Intel Core i5, 4GB RAM, Mac OS, 128GB SSD, Bundle: Black Case, Wireless Mouse, Bluetooth Headset - Silver",Apple,3.2,,"We aim to show you accurate product information.&nbsp;Manufacturers, suppliers and others provide what you see here, and we have not verified it.&nbsp;&nbsp;See our disclaimer",https://i5.walmartimages.com/asr/60e5ea72-ac15-4bdc-b112-572f76776e83.77df8900f9478a7a581dad9a6698ecd5.jpeg,239,USD
laptop,3,35,5UVD7LD7GFKY,Laptop Computers,"Dell Chromebook 3120 11.6"" Celeron N2840 2GB RAM 16GB SSD Laptop (3VK89) (Scratch & Dent)",Dell,3.6,,"<b>* Dell Chromebooks have been Tested, and Factory Reset to original specifications. Good overall condition with visible wear, scratches, or scruffs and dents on the front/back panels. 100% Functional, includes all major accessories.</b>The Dell Chromebook 11 is MIL-STD (U.S. Military Standard) tested for durability, pressure, temperature, humidity, shock and vibration so it can handle student life. The rubberized LCD and base trim absorbs shock for superior drop protection. At under three pounds with a compact 11.6"" display, it’s easy to pop it in a backpack. The Activity Light on the Dell Chromebook 11 provides an interactive non-disruptive engagement experience between teacher and student by providing an intelligent LED light on the back of the display. Current features include a multi-color LED that allows the teacher to see which students have questions or conduct ad-hoc verbal polls and an easy-to-use Activity Light application for students to change the LED on the screen.",https://i5.walmartimages.com/asr/7785f406-cabf-421a-96d9-d681c51d1e5a.0258315586e2a369d4a5c5f958d8bb18.jpeg,37.99,USD
